ListSizes,TestResult
0,220
1000,44424
2000,48090
3000,51535
4000,57253
5000,58352
6000,62384
7000,67662
8000,71401
9000,75360
10000,77119
11000,80418
12000,84083
13000,87309
14000,91927
15000,99991
16000,99991
17000,112600
18000,109814
19000,116705
20000,118245
21000,121689
22000,125942
23000,167067
24000,132100
25000,135178
26000,142729
27000,143315
28000,148227
29000,153798
30000,160322
31000,159590
32000,165454
33000,187520
34000,172785
35000,175424
36000,183048
37000,187446
38000,194484
39000,195070
40000,198808
41000,200422
42000,206506
43000,211344
44000,212883
45000,220801
46000,222927
47000,226079
48000,231723
49000,234802
50000,242353
51000,243086
52000,247778
53000,251223
54000,259654
55000,264492
56000,268524
57000,274022
58000,276734
59000,279226
60000,282745
61000,288463
62000,292715
63000,293521
64000,298726
65000,306277
66000,306863
67000,312215
68000,317932
69000,322624
70000,330835
71000,336333
72000,336626
73000,337579
74000,349308
75000,350481
76000,368148
77000,357372
78000,363236
79000,379877
80000,377018
81000,391973
82000,388674
83000,387867
84000,391606
85000,396152
86000,426134
87000,413965
88000,418877
89000,415138
90000,418583
91000,428406
92000,428920
93000,443288
94000,440869
95000,445047
96000,450106
97000,461688
98000,460661
99000,461395
100000,476203
101000,470338
102000,484853
103000,495922
104000,502740
105000,521506
106000,519893
107000,507871
108000,516228
109000,508824
110000,514396
111000,525025
112000,534481
113000,519380
114000,538001
115000,549509
116000,540419
117000,546284
118000,559406
119000,567983
120000,569669
121000,569229
122000,590561
123000,584330
124000,586383
125000,607789
126000,626555
127000,630440
128000,605736
129000,693705
130000,628461
131000,646275
132000,637478
133000,653312
134000,656245
135000,638138
136000,666434
137000,656684
138000,650820
139000,672079
140000,665921
141000,674278
142000,715550
143000,680069
144000,685567
145000,681389
146000,714597
147000,701621
148000,731018
149000,708659
150000,706460
151000,726619
152000,728819
153000,730065
154000,740255
155000,753670
156000,757189
157000,754403
158000,821699
159000,764959
160000,767744
161000,768991
162000,774123
163000,770750
164000,789736
165000,784239
166000,821772
167000,803225
168000,793256
169000,878511
170000,831009
171000,821039
172000,830642
173000,843691
174000,844864
175000,866343
176000,880638
177000,861944
178000,873013
179000,852707
180000,861651
181000,864730
182000,893686
183000,882690
184000,905855
185000,898378
186000,901457
187000,901383
188000,932832
189000,977916
190000,925795
191000,944268
192000,939796
193000,1062366
194000,953504
195000,965894
196000,956364
197000,971392
198000,988179
199000,983487
