ListSizes,TestResult
0,0
1000,0
2000,0
3000,0
4000,0
5000,0
6000,0
7000,0
8000,0
9000,0
10000,0
11000,0
12000,0
13000,0
14000,0
15000,0
16000,0
17000,0
18000,0
19000,0
20000,0
21000,0
22000,0
23000,0
24000,0
25000,0
26000,0
27000,0
28000,1
29000,0
30000,0
31000,0
32000,0
33000,0
34000,0
35000,0
36000,0
37000,0
38000,0
39000,0
40000,0
41000,0
42000,0
43000,0
44000,0
45000,0
46000,0
47000,0
48000,0
49000,0
50000,1
51000,0
52000,0
53000,0
54000,0
55000,0
56000,0
57000,0
58000,0
59000,0
60000,0
61000,1
62000,0
63000,0
64000,0
65000,1
66000,1
67000,1
68000,0
69000,0
70000,0
71000,0
72000,1
73000,1
74000,1
75000,0
76000,1
77000,1
78000,0
79000,1
80000,1
81000,0
82000,1
83000,1
84000,1
85000,1
86000,1
87000,0
88000,0
89000,0
90000,0
91000,1
92000,0
93000,0
94000,1
95000,1
96000,1
97000,0
98000,0
99000,0
100000,1
101000,1
102000,0
103000,0
104000,1
105000,1
106000,0
107000,1
108000,1
109000,1
110000,1
111000,1
112000,1
113000,0
114000,0
115000,0
116000,1
117000,1
118000,1
119000,0
120000,1
121000,1
122000,0
123000,1
124000,1
125000,1
126000,1
127000,1
128000,1
129000,1
130000,1
131000,1
132000,1
133000,1
134000,1
135000,1
136000,1
137000,1
138000,1
139000,1
140000,1
141000,1
142000,1
143000,1
144000,1
145000,1
146000,1
147000,1
148000,1
149000,1
150000,1
151000,1
152000,1
153000,1
154000,1
155000,1
156000,1
157000,1
158000,1
159000,1
160000,1
161000,1
162000,1
163000,1
164000,1
165000,1
166000,1
167000,1
168000,1
169000,1
170000,1
171000,1
172000,1
173000,1
174000,1
175000,1
176000,1
177000,1
178000,1
179000,1
180000,1
181000,1
182000,1
183000,1
184000,1
185000,1
186000,1
187000,1
188000,1
189000,1
190000,1
191000,1
192000,1
193000,1
194000,1
195000,1
196000,1
197000,1
198000,1
199000,1
