K,TestResult
0,0
1000,1
2000,1
3000,2
4000,2
5000,2
6000,2
7000,3
8000,3
9000,3
10000,3
11000,4
12000,4
13000,5
14000,5
15000,5
16000,5
17000,6
18000,6
19000,6
20000,6
21000,7
22000,7
23000,7
24000,8
25000,8
26000,9
27000,9
28000,9
29000,9
30000,10
31000,10
32000,11
33000,11
34000,11
35000,11
36000,12
37000,12
38000,12
39000,12
40000,13
41000,13
42000,13
43000,14
44000,14
45000,14
46000,15
47000,15
48000,16
49000,16
50000,16
51000,16
52000,17
53000,17
54000,17
55000,18
56000,18
57000,18
58000,19
59000,19
60000,19
61000,21
62000,20
63000,20
64000,21
65000,21
66000,21
67000,22
68000,22
69000,23
70000,23
71000,24
72000,24
73000,24
74000,24
75000,25
76000,25
77000,25
78000,26
79000,26
80000,26
81000,26
82000,27
83000,27
84000,27
85000,28
86000,29
87000,28
88000,29
89000,29
90000,29
91000,30
92000,30
93000,31
94000,31
95000,31
96000,32
97000,32
98000,33
99000,33
100000,33
101000,34
102000,33
103000,34
104000,33
105000,34
106000,34
107000,33
108000,33
109000,33
110000,34
111000,33
112000,34
113000,34
114000,34
115000,34
116000,34
117000,34
118000,34
119000,34
120000,34
121000,34
122000,35
123000,35
124000,34
125000,34
126000,34
127000,34
128000,34
129000,34
130000,35
131000,35
132000,35
133000,35
134000,35
135000,35
136000,34
137000,34
138000,37
139000,35
140000,35
141000,35
142000,34
143000,39
144000,35
145000,35
146000,35
147000,35
148000,35
149000,35
150000,35
151000,35
152000,35
153000,35
154000,35
155000,35
156000,35
157000,35
158000,35
159000,35
160000,36
161000,36
162000,38
163000,37
164000,35
165000,35
166000,36
167000,36
168000,36
169000,36
170000,35
171000,36
172000,36
173000,36
174000,35
175000,35
176000,35
177000,36
178000,38
179000,36
180000,36
181000,36
182000,36
183000,37
184000,37
185000,36
186000,38
187000,37
188000,36
189000,36
190000,37
191000,38
192000,37
193000,37
194000,37
195000,37
196000,37
197000,37
198000,37
199000,37
