DictionarySize,Test1Result,Test2Result,Test3Result
0,0,0,0
1000,0,0,1
2000,1,1,1
3000,1,1,2
4000,2,1,2
5000,4,2,3
6000,6,3,4
7000,8,3,5
8000,10,4,5
9000,12,4,5
10000,15,5,5
11000,23,8,9
12000,26,9,9
13000,35,10,9
14000,34,10,11
15000,40,12,11
16000,45,12,10
17000,50,13,11
18000,56,14,11
19000,64,15,12
20000,71,16,12
21000,109,25,19
22000,115,27,20
23000,125,28,23
24000,131,30,23
25000,141,31,22
26000,151,33,22
27000,156,34,23
28000,173,35,23
29000,186,38,26
30000,198,40,25
31000,219,42,24
32000,219,43,26
33000,242,47,28
34000,254,48,26
35000,280,50,26
36000,286,52,28
37000,310,55,26
38000,326,56,29
39000,350,60,31
40000,343,64,29
41000,548,91,48
42000,539,99,46
43000,555,98,50
44000,554,101,49
45000,615,106,53
46000,660,104,50
47000,693,108,53
48000,664,113,54
49000,711,119,53
50000,746,119,52
51000,778,124,54
52000,768,130,56
53000,826,132,51
54000,766,139,56
55000,860,142,54
56000,919,145,56
57000,921,150,55
58000,975,153,53
59000,994,162,55
60000,1019,163,57
61000,1083,169,54
62000,1140,175,57
63000,1095,179,57
64000,1171,181,57
65000,1221,188,57
66000,1274,202,62
67000,1305,199,61
68000,1302,212,59
69000,1377,220,62
70000,1477,231,61
71000,1483,243,59
72000,1482,233,61
73000,1491,240,62
74000,1622,246,63
75000,1719,279,62
76000,1734,264,66
77000,1808,274,62
78000,1779,274,64
79000,1901,296,70
